Date,Open,High,Low,Close,Adj Close,Volume
2012-11-29,92.500000,93.419998,92.089996,93.040001,68.251579,2116000
2012-11-30,93.339996,94.099998,93.040001,93.300003,68.442329,1651400
2012-12-03,93.250000,93.430000,91.540001,91.550003,67.158554,1782300
2012-12-04,91.360001,92.300003,91.250000,91.480003,67.107201,2098500
2012-12-05,91.629997,92.080002,90.699997,91.529999,67.143883,1860800
2012-12-06,91.580002,91.940002,90.800003,91.480003,67.107201,1678000
2012-12-07,91.580002,92.000000,91.150002,91.900002,67.415306,1064200
2012-12-10,91.750000,92.699997,91.540001,92.410004,67.789429,1183200
2012-12-11,92.720001,93.000000,91.910004,92.000000,67.488663,1380400
2012-12-12,92.309998,92.750000,91.690002,91.809998,67.349266,1505100
2012-12-13,91.510002,91.660004,89.809998,89.989998,66.014191,2434700
2012-12-14,90.000000,90.059998,88.839996,88.959999,65.258583,1697000
2012-12-17,89.190002,90.779999,88.790001,90.419998,66.329605,1670700
2012-12-18,90.540001,93.010002,90.400002,92.930000,68.170868,5676100
2012-12-19,92.970001,93.669998,92.190002,92.910004,68.156204,1932400
2012-12-20,92.500000,92.970001,91.900002,92.500000,67.855446,2310500
2012-12-21,91.190002,93.470001,91.169998,93.129997,68.317574,3926200
